,0
BTN3A3,0
LY6G5C,2
TTLL9,0
ITGA8,0
AGA,0
COL4A3,0
CLPTM1L,0
ICAM1,1
NAPB,3
CADM3,0
TTF2,0
LGALS3BP,0
C6orf150,4
GLRA4,7
SLC38A2,0
KCNIP2,0
MT1E,0
GRID1,0
ZNF618,0
OR5P3,5
FBLN2,0
ODZ4,0
KIAA1462,5
NRXN3,1
DCBLD1,0
C8orf59,0
UACA,0
SERP2,0
APP,0
TPPP3,0
EMB,0
CDCA7L,0
ARFGEF1,0
SAMD12,2
PHF15,0
RFX4,1
NEK6,0
ZNF404,0
PPP4R4,0
SPOCK1,0
DSCR4,2
ZFHX3,0
GABRA3,0
GPR143,0
SYN3,0
ZNF586,3
ME3,0
AXL,0
C16orf89,0
ABCB1,3
FNDC1,6
SMARCD3,0
IRF8,0
LOC100128364,0
PCGF5,0
CSRNP3,0
